,filename,SUM #line_changed
6237,.../hbase/protobuf/generated/MasterProtos.java,446760.0
11641,.../shaded/protobuf/generated/MasterProtos.java,365406.0
6221,.../hbase/protobuf/generated/ClientProtos.java,312192.0
4732,.../hadoop/hbase/thrift/generated/Hbase.java,274488.0
7076,.../hbase/thrift2/generated/THBaseService.java,252391.0
6231,.../hbase/protobuf/generated/HBaseProtos.java,249090.0
6241,.../hbase/protobuf/generated/QuotaProtos.java,241684.0
10918,.../protobuf/generated/MasterProcedureProtos.java,224998.0
10905,.../protobuf/generated/ClusterStatusProtos.java,216900.0
6216,.../hbase/protobuf/generated/AdminProtos.java,172168.0
11635,.../shaded/protobuf/generated/ClientProtos.java,170456.0
2204,.../com/google/protobuf/DescriptorProtos.java,156794.0
10915,.../protobuf/generated/MasterAdminProtos.java,154120.0
11632,.../shaded/protobuf/generated/AdminProtos.java,146730.0
1348,.../apache/hadoop/hbase/regionserver/HRegion.java,126526.0
4733,".../hadoop/hbase/thrift/generated/Hbase.java""",117170.0
6229,.../hbase/protobuf/generated/FilterProtos.java,110328.0
4731,.../hadoop/hbase/thrift/generated/Hbase.html,106502.0
10900,.../protobuf/generated/AccessControlProtos.java,101430.0
15921,src/main/docbkx/book.xml,92012.0
2549,.../generated/RegionServerStatusProtos.java,89350.0
7931,.../java/org/apache/hadoop/hbase/mob/MobUtils.java,88594.0
3589,.../hadoop/hbase/master/AssignmentManager.java,84864.0
6246,.../hbase/protobuf/generated/ZooKeeperProtos.java,84390.0
15947,src/main/docbkx/security.xml,80315.0
11638,.../shaded/protobuf/generated/HBaseProtos.java,80154.0
11637,.../shaded/protobuf/generated/FilterProtos.java,75016.0
3846,.../hadoop/hbase/mob/mapreduce/SweepJob.java,70387.0
4014,.../hadoop/hbase/regionserver/HMobStore.java,67744.0
4167,.../hadoop/hbase/regionserver/TestHMobStore.java,67525.0
3934,.../hadoop/hbase/protobuf/generated/WALProtos.java,67124.0
11643,.../shaded/protobuf/generated/QuotaProtos.java,62494.0
3848,.../hadoop/hbase/mob/mapreduce/SweepReducer.java,59943.0
11696,.../snapshot/TestMobFlushSnapshotFromClient.java,57283.0
11530,.../security/access/TestAccessController.java,56727.0
9524,.../org/apache/hadoop/hbase/client/HBaseAdmin.java,55872.0
6474,.../hbase/regionserver/TestMobStoreScanner.java,55490.0
10921,.../protobuf/generated/RSGroupAdminProtos.java,54324.0
4017,.../hadoop/hbase/regionserver/HRegionServer.java,54219.0
3930,.../hadoop/hbase/protobuf/generated/RPCProtos.java,53446.0
10925,.../protobuf/generated/ReplicationProtos.java,51960.0
6225,.../hbase/protobuf/generated/ComparatorProtos.java,49918.0
10014,.../org/apache/hadoop/hbase/master/HMaster.java,49486.0
15556,pom.xml,49386.0
6895,.../hbase/shaded/protobuf/generated/WALProtos.java,49252.0
6220,.../hbase/protobuf/generated/ClientProtos.html,48668.0
7077,".../hbase/thrift2/generated/THBaseService.java""",46430.0
6932,.../hbase/snapshot/TestMobExportSnapshot.java,45637.0
10910,.../protobuf/generated/ErrorHandlingProtos.java,45218.0
10941,.../protobuf/generated/VisibilityLabelsProtos.java,43928.0
7078,.../hbase/thrift2/generated/THRegionInfo.java,42667.0
11134,.../regionserver/TestHRegionReplayEvents.java,42447.0
2377,.../coprocessor/protobuf/generated/PingProtos.java,42068.0
2540,.../generated/DummyRegionServerEndpointProtos.java,41989.0
10133,.../org/apache/hadoop/hbase/mob/MobFileCache.java,41940.0
935,.../apache/hadoop/hbase/io/hfile/HFileBlock.java,41221.0
9898,.../org/apache/hadoop/hbase/ipc/RpcClient.java,40590.0
10901,.../protobuf/generated/AuthenticationProtos.java,40350.0
2125,.../client/TestMobSnapshotCloneIndependence.java,40110.0
3849,.../hadoop/hbase/mob/mapreduce/TestMobSweeper.java,38836.0
4320,.../hadoop/hbase/regionserver/wal/TestHLog.java,38761.0
6472,.../hbase/regionserver/TestMobCompaction.java,38541.0
4286,.../hadoop/hbase/regionserver/wal/FSHLog.java,38136.0
4169,.../hadoop/hbase/regionserver/TestHRegion.java,37834.0
15940,src/main/docbkx/ops_mgt.xml,37579.0
10929,.../protobuf/generated/SecureBulkLoadProtos.java,36998.0
6919,.../hbase/snapshot/MobSnapshotTestingUtils.java,36482.0
7285,.../hbasewebapps/static/css/bootstrap.css,35178.0
1353,.../apache/hadoop/hbase/regionserver/HStore.java,34858.0
9529,.../org/apache/hadoop/hbase/client/HTable.java,33886.0
6215,.../hbase/protobuf/generated/AdminProtos.html,33560.0
6894,.../hbase/shaded/protobuf/generated/RPCProtos.java,33254.0
6140,.../hbase/mob/compactions/TestMobCompactor.java,33167.0
10914,.../protobuf/generated/MasterAdminProtos.html,32866.0
9229,.../mob/filecompactions/TestMobFileCompactor.java,32730.0
2905,.../hadoop/hbase/client/TestFromClientSide.java,32512.0
5367,.../hbase/client/TestMobSnapshotFromClient.java,31667.0
2124,.../client/TestMobRestoreSnapshotFromClient.java,31643.0
1307,.../apache/hadoop/hbase/protobuf/ProtobufUtil.java,31452.0
15930,src/main/docbkx/developer.xml,31433.0
6447,.../hbase/regionserver/TestDeleteMobTable.java,30553.0
10913,.../protobuf/generated/LockServiceProtos.java,30440.0
6818,.../hbase/security/access/AccessController.java,30121.0
