line_no,diffmyers-HRegionServer.java,diffhistogram-HRegionServer.java,diffminimal-HRegionServer.java,diffpatience-HRegionServer.java
1348 ," @@ -2803', '1679 +2505', '100 @@ public class hregionserver implements clientprotos.clientservice.blockinginterfa "," @@ -2803', '930 +2505', '6 @@ public class hregionserver implements clientprotos.clientservice.blockinginterfa "," @@ -2803', '930 +2505', '6 @@ public class hregionserver implements clientprotos.clientservice.blockinginterfa "," @@ -2803', '930 +2505', '6 @@ public class hregionserver implements clientprotos.clientservice.blockinginterfa"
1364 , +  @override , -  } , -  } , -  }
1365 , +  public void updateregionfavorednodesmapping(string encodedregionname , - , - , -
1366 , +      list<org.apache.hadoop.hbase.protobuf.generated.hbaseprotos.servername> favorednodes) { , -  // start client methods , -  // start client methods , -  // start client methods
1367 , +    inetsocketaddress[] addr = new inetsocketaddress[favorednodes.size()]; , - , - , -
1368 , +    // refer to the comment on the declaration of regionfavorednodesmap on why , -  /** , -  /** , -  /**
1369 , +    // it is a map of region name to inetsocketaddress[] , -   * get data from a table. , -   * get data from a table. , -   * get data from a table.
1370 , +    for (int i = 0; i < favorednodes.size(); i++) { , -   * , -   * , -   *
1371 , +      addr[i] = inetsocketaddress.createunresolved(favorednodes.get(i).gethostname() , -   * @param controller the rpc controller , -   * @param controller the rpc controller , -   * @param controller the rpc controller
1372 , +          favorednodes.get(i).getport()); , -   * @param request the get request , -   * @param request the get request , -   * @param request the get request
1373 , +    } , -   * @throws serviceexception , -   * @throws serviceexception , -   * @throws serviceexception
1374 ," +    regionfavorednodesmap.put(encodedregionname', 'addr); ", -   */ , -   */ , -   */
1375 , } , -  @override , -  @override , -  @override
1376 , - , -  public getresponse get(final rpccontroller controller , -  public getresponse get(final rpccontroller controller , -  public getresponse get(final rpccontroller controller
1377 , -  // start client methods , -      final getrequest request) throws serviceexception { , -      final getrequest request) throws serviceexception { , -      final getrequest request) throws serviceexception {
1378 ,  , -    long before = environmentedgemanager.currenttimemillis(); , -    long before = environmentedgemanager.currenttimemillis(); , -    long before = environmentedgemanager.currenttimemillis();
1379 , /** , -    try { , -    try { , -    try {
1380 , -   * get data from a table. , -      checkopen(); , -      checkopen(); , -      checkopen();
1381 , -   * , -      requestcount.increment(); , -      requestcount.increment(); , -      requestcount.increment();
