line_no,diffmyers-RateLimiter.java,diffhistogram-RateLimiter.java,diffminimal-RateLimiter.java,diffpatience-RateLimiter.java
100 , +  protected long gettimeunitinmillis() { , -  /** , +  protected long gettimeunitinmillis() { , +  protected long gettimeunitinmillis() {
101 , +    return tunit; ," -   * given the time interval', 'is there at least one resource available to allow execution? ", +    return tunit; , +    return tunit;
102 , +  } , -   * @param now the current timestamp , +  } , +  }
103 , + , -   * @param lastts the timestamp of the last update , + , +
104 , /** ," -   * @return true if there is at least one resource available', 'otherwise false ", /** , /**
105 ," -   * given the time interval', 'is there at least one resource available to allow execution? ", -   */ ," -   * given the time interval', 'is there at least one resource available to allow execution? "," -   * given the time interval', 'is there at least one resource available to allow execution?"
106 , -   * @param now the current timestamp ," -  public boolean canexecute(final long now', 'final long lastts) { ", -   * @param now the current timestamp , -   * @param now the current timestamp
107 , -   * @param lastts the timestamp of the last update ," -    return canexecute(now', 'lastts', '1); ", -   * @param lastts the timestamp of the last update , -   * @param lastts the timestamp of the last update
108 , +   * is there at least one resource available to allow execution? , +  protected long gettimeunitinmillis() { , +   * is there at least one resource available to allow execution? , +   * is there at least one resource available to allow execution?
109 ," * @return true if there is at least one resource available', 'otherwise false ", +    return tunit; ," * @return true if there is at least one resource available', 'otherwise false "," * @return true if there is at least one resource available', 'otherwise false"
110 , */ , } , */ , */
111 ," -  public boolean canexecute(final long now', 'final long lastts) { ",  ," -  public boolean canexecute(final long now', 'final long lastts) { "," -  public boolean canexecute(final long now', 'final long lastts) {"
112 ," -    return canexecute(now', 'lastts', '1); ", /** ," -    return canexecute(now', 'lastts', '1); "," -    return canexecute(now', 'lastts', '1);"
113 , +  public boolean canexecute() { ," -   * given the time interval', 'are there enough available resources to allow execution? ", +  public boolean canexecute() { , +  public boolean canexecute() {
114 , +    return canexecute(1); , -   * @param now the current timestamp , +    return canexecute(1); , +    return canexecute(1);
115 , } , -   * @param lastts the timestamp of the last update , } , }
116 ,  , +   * is there at least one resource available to allow execution? ,  , 
117 , /** ," +   * @return true if there is at least one resource available', 'otherwise false ", /** , /**
118 ," -   * given the time interval', 'are there enough available resources to allow execution? ", +   */ ," -   * given the time interval', 'are there enough available resources to allow execution? "," -   * given the time interval', 'are there enough available resources to allow execution?"
119 , -   * @param now the current timestamp , +  public boolean canexecute() { , -   * @param now the current timestamp , -   * @param now the current timestamp
120 , -   * @param lastts the timestamp of the last update , +    return canexecute(1); , -   * @param lastts the timestamp of the last update , -   * @param lastts the timestamp of the last update
121 , +   * are there enough available resources to allow execution? , +  } , +   * are there enough available resources to allow execution? , +   * are there enough available resources to allow execution?
122 , * @param amount the number of required resources , + , * @param amount the number of required resources , * @param amount the number of required resources
123 ," * @return true if there are enough available resources', 'otherwise false ", +  /** ," * @return true if there are enough available resources', 'otherwise false "," * @return true if there are enough available resources', 'otherwise false"
124 , */ , +   * are there enough available resources to allow execution? , */ , */
125 ," -  public synchronized boolean canexecute(final long now', 'final long lastts', 'final long amount) { ", * @param amount the number of required resources ," -  public synchronized boolean canexecute(final long now', 'final long lastts', 'final long amount) { "," -  public synchronized boolean canexecute(final long now', 'final long lastts', 'final long amount) {"
126 ," -    return avail >= amount ? true : refill(now', 'lastts) >= amount; "," * @return true if there are enough available resources', 'otherwise false "," -    return avail >= amount ? true : refill(now', 'lastts) >= amount; "," -    return avail >= amount ? true : refill(now', 'lastts) >= amount;"
127 , +  public synchronized boolean canexecute(final long amount) { , */ , +  public synchronized boolean canexecute(final long amount) { , +  public synchronized boolean canexecute(final long amount) {
128 ," +    long refillamount = refill(limit', 'avail); "," -  public synchronized boolean canexecute(final long now', 'final long lastts', 'final long amount) { "," +    long refillamount = refill(limit', 'avail); "," +    long refillamount = refill(limit', 'avail);"
129 , +    if (refillamount == 0 && avail < amount) { ," -    return avail >= amount ? true : refill(now', 'lastts) >= amount; ", +    if (refillamount == 0 && avail < amount) { , +    if (refillamount == 0 && avail < amount) {
130 , +      return false; , +  public synchronized boolean canexecute(final long amount) { , +      return false; , +      return false;
131 , +    } ," +    long refillamount = refill(limit', 'avail); ", +    } , +    }
132 , +    // check for positive overflow , +    if (refillamount == 0 && avail < amount) { , +    // check for positive overflow , +    // check for positive overflow
133 , +    if (avail <= long.max_value - refillamount) { , +      return false; , +    if (avail <= long.max_value - refillamount) { , +    if (avail <= long.max_value - refillamount) {
