line_no,diffmyers-TestRateLimiter.java,diffhistogram-TestRateLimiter.java,diffminimal-TestRateLimiter.java,diffpatience-TestRateLimiter.java
9 , +import static org.junit.assert.assertequals; , -import java.util.concurrent.timeunit; , +import static org.junit.assert.assertequals; , +import static org.junit.assert.assertequals;
10 , +import static org.junit.assert.assertfalse; , - , +import static org.junit.assert.assertfalse; , +import static org.junit.assert.assertfalse;
11 , +import static org.junit.assert.asserttrue; , -import org.apache.hadoop.hbase.testclassification.smalltests; , +import static org.junit.assert.asserttrue; , +import static org.junit.assert.asserttrue;
12 , + , -import org.apache.hadoop.hbase.testclassification.regionservertests; , + , +
13 , import java.util.concurrent.timeunit; , - , import java.util.concurrent.timeunit; , import java.util.concurrent.timeunit;
14 ,  , -import org.junit.assert; ,  , 
15 , -import org.apache.hadoop.hbase.testclassification.smalltests; , -import org.junit.test; , -import org.apache.hadoop.hbase.testclassification.smalltests; , -import org.apache.hadoop.hbase.testclassification.smalltests;
16 , import org.apache.hadoop.hbase.testclassification.regionservertests; , -import org.junit.experimental.categories.category; , import org.apache.hadoop.hbase.testclassification.regionservertests; , import org.apache.hadoop.hbase.testclassification.regionservertests;
18 , -import org.junit.assert; , import static org.junit.assert.assertequals; , -import org.junit.assert; , -import org.junit.assert;
19 , +import org.apache.hadoop.hbase.testclassification.smalltests; , import static org.junit.assert.assertfalse; , +import org.apache.hadoop.hbase.testclassification.smalltests; , +import org.apache.hadoop.hbase.testclassification.smalltests;
20 , import org.junit.test; , import static org.junit.assert.asserttrue; , import org.junit.test; , import org.junit.test;
21 , import org.junit.experimental.categories.category; ,  , import org.junit.experimental.categories.category; , import org.junit.experimental.categories.category;
22 ,  , +import java.util.concurrent.timeunit; ,  , 
23 , -import static org.junit.assert.assertequals; , + , -import static org.junit.assert.assertequals; , -import static org.junit.assert.assertequals;
24 , -import static org.junit.assert.assertfalse; , +import org.apache.hadoop.hbase.testclassification.regionservertests; , -import static org.junit.assert.assertfalse; , -import static org.junit.assert.assertfalse;
25 , -import static org.junit.assert.asserttrue; , +import org.apache.hadoop.hbase.testclassification.smalltests; , -import static org.junit.assert.asserttrue; , -import static org.junit.assert.asserttrue;
26 , - , +import org.junit.test; , - , -
27 , /** , +import org.junit.experimental.categories.category; , /** , /**
28 , * verify the behaviour of the rate limiter. , + , * verify the behaviour of the rate limiter. , * verify the behaviour of the rate limiter.
29 , */ , /** , */ , */
30 ," @@ -58', '16 +56', '14 @@ public class testratelimiter { ", * verify the behaviour of the rate limiter. ," @@ -58', '16 +56', '14 @@ public class testratelimiter { "," @@ -58', '16 +56', '14 @@ public class testratelimiter {"
31 ,  , */ ,  , 
32 ," private void testwaitinterval(final timeunit timeunit', 'final long limit "," @@ -58', '16 +56', '14 @@ public class testratelimiter { "," private void testwaitinterval(final timeunit timeunit', 'final long limit "," private void testwaitinterval(final timeunit timeunit', 'final long limit"
33 , final long expectedwaitinterval) { ,  , final long expectedwaitinterval) { , final long expectedwaitinterval) {
34 , -    ratelimiter limiter = new ratelimiter(); ," private void testwaitinterval(final timeunit timeunit', 'final long limit ", -    ratelimiter limiter = new ratelimiter(); , -    ratelimiter limiter = new ratelimiter();
35 , +    ratelimiter limiter = new averageintervalratelimiter(); , final long expectedwaitinterval) { , +    ratelimiter limiter = new averageintervalratelimiter(); , +    ratelimiter limiter = new averageintervalratelimiter();
36 ," limiter.set(limit', 'timeunit); ", -    ratelimiter limiter = new ratelimiter(); ," limiter.set(limit', 'timeunit); "," limiter.set(limit', 'timeunit);"
37 ,  , +    ratelimiter limiter = new averageintervalratelimiter(); ,  , 
38 , long nowts = 0; ," limiter.set(limit', 'timeunit); ", long nowts = 0; , long nowts = 0;
39 , -    long lastts = 0; ,  , -    long lastts = 0; , -    long lastts = 0;
40 , - , long nowts = 0; , - , -
41 ," // consume all the available resources', 'one request at the time. ", -    long lastts = 0; ," // consume all the available resources', 'one request at the time. "," // consume all the available resources', 'one request at the time."
42 , // the wait interval should be 0 , - , // the wait interval should be 0 , // the wait interval should be 0
43 , for (int i = 0; i < (limit - 1); ++i) { ," // consume all the available resources', 'one request at the time. ", for (int i = 0; i < (limit - 1); ++i) { , for (int i = 0; i < (limit - 1); ++i) {
44 ," -      asserttrue(limiter.canexecute(nowts', 'lastts)); ", // the wait interval should be 0 ," -      asserttrue(limiter.canexecute(nowts', 'lastts)); "," -      asserttrue(limiter.canexecute(nowts', 'lastts));"
45 , +      asserttrue(limiter.canexecute()); , for (int i = 0; i < (limit - 1); ++i) { , +      asserttrue(limiter.canexecute()); , +      asserttrue(limiter.canexecute());
46 , limiter.consume(); ," -      asserttrue(limiter.canexecute(nowts', 'lastts)); ", limiter.consume(); , limiter.consume();
47 , long waitinterval = limiter.waitinterval(); , +      asserttrue(limiter.canexecute()); , long waitinterval = limiter.waitinterval(); , long waitinterval = limiter.waitinterval();
48 ," assertequals(0', 'waitinterval); ", limiter.consume(); ," assertequals(0', 'waitinterval); "," assertequals(0', 'waitinterval);"
49 ," @@ -76', '40 +72', '102 @@ public class testratelimiter { ", long waitinterval = limiter.waitinterval(); ," @@ -76', '40 +72', '102 @@ public class testratelimiter { "," @@ -76', '40 +72', '102 @@ public class testratelimiter {"
50 , for (int i = 0; i < (limit * 4); ++i) { ," assertequals(0', 'waitinterval); ", for (int i = 0; i < (limit * 4); ++i) { , for (int i = 0; i < (limit * 4); ++i) {
51 ," // there is one resource available', 'so we should be able to "," @@ -76', '40 +72', '102 @@ public class testratelimiter { "," // there is one resource available', 'so we should be able to "," // there is one resource available', 'so we should be able to"
52 , // consume it without waiting. , for (int i = 0; i < (limit * 4); ++i) { , // consume it without waiting. , // consume it without waiting.
53 ," -      asserttrue(limiter.canexecute(nowts', 'lastts)); "," // there is one resource available', 'so we should be able to "," -      asserttrue(limiter.canexecute(nowts', 'lastts)); "," -      asserttrue(limiter.canexecute(nowts', 'lastts));"
54 , +      limiter.setnextrefilltime(limiter.getnextrefilltime() - nowts); , // consume it without waiting. , +      limiter.setnextrefilltime(limiter.getnextrefilltime() - nowts); , +      limiter.setnextrefilltime(limiter.getnextrefilltime() - nowts);
55 , +      asserttrue(limiter.canexecute()); ," -      asserttrue(limiter.canexecute(nowts', 'lastts)); ", +      asserttrue(limiter.canexecute()); , +      asserttrue(limiter.canexecute());
56 ," assertequals(0', 'limiter.waitinterval()); ", +      limiter.setnextrefilltime(limiter.getnextrefilltime() - nowts); ," assertequals(0', 'limiter.waitinterval()); "," assertequals(0', 'limiter.waitinterval());"
57 , limiter.consume(); , +      asserttrue(limiter.canexecute()); , limiter.consume(); , limiter.consume();
58 , -      lastts = nowts; ," assertequals(0', 'limiter.waitinterval()); ", -      lastts = nowts; , -      lastts = nowts;
59 , - , limiter.consume(); , - , -
60 ," // no more resources are available', 'we should wait for at least an interval. ", -      lastts = nowts; ," // no more resources are available', 'we should wait for at least an interval. "," // no more resources are available', 'we should wait for at least an interval."
61 , long waitinterval = limiter.waitinterval(); , - , long waitinterval = limiter.waitinterval(); , long waitinterval = limiter.waitinterval();
62 ," assertequals(expectedwaitinterval', 'waitinterval); "," // no more resources are available', 'we should wait for at least an interval. "," assertequals(expectedwaitinterval', 'waitinterval); "," assertequals(expectedwaitinterval', 'waitinterval);"
63 ,  , long waitinterval = limiter.waitinterval(); ,  , 
64 , // set the nowts to be the exact time when resources should be available again. ," assertequals(expectedwaitinterval', 'waitinterval); ", // set the nowts to be the exact time when resources should be available again. , // set the nowts to be the exact time when resources should be available again.
65 , -      nowts += waitinterval; ,  , -      nowts += waitinterval; , -      nowts += waitinterval;
66 , +      nowts = waitinterval; , // set the nowts to be the exact time when resources should be available again. , +      nowts = waitinterval; , +      nowts = waitinterval;
67 ,  , -      nowts += waitinterval; ,  , 
68 , // artificially go into the past to prove that when too early we should fail. , +      nowts = waitinterval; , // artificially go into the past to prove that when too early we should fail. , // artificially go into the past to prove that when too early we should fail.
69 ," -      assertfalse(limiter.canexecute(nowts - 500', 'lastts)); ",  ," -      assertfalse(limiter.canexecute(nowts - 500', 'lastts)); "," -      assertfalse(limiter.canexecute(nowts - 500', 'lastts));"
