bug_id,affected_version,date_release,time_release,tz
HBASE-9426,0.94.11RC0,2013-08-13,23:48:11,+0000
HBASE-9426,0.94.11,2013-08-20,23:34:48,+0000
HBASE-9426,0.94.11mvn,2013-08-20,23:50:17,+0000
HBASE-9426,0.94.11mvn2,2013-08-20,23:50:15,+0000
HBASE-5209,0.90.5RC0,2011-12-09,20:01:31,+0000
HBASE-5209,0.90.5,2011-12-23,04:12:21,+0000
HBASE-5209,0.90.5mvn,2012-01-03,17:25:49,+0000
HBASE-5209,0.90.5mvn2,2012-01-03,17:25:46,+0000
HBASE-15467,2.0.0-alpha-1RC0,2017-06-07,14:29:19,-0500
HBASE-15467,2.0.0-alpha-2RC0,2017-08-02,22:54:21,-0700
HBASE-15467,2.0.0-alpha-3RC0,2017-09-14,17:20:59,-0700
HBASE-15467,2.0.0-alpha-3RC0.2,2017-09-15,16:35:21,+0800
HBASE-15467,2.0.0-alpha4RC0,2017-10-31,10:08:53,-0700
HBASE-15467,2.0.0-beta-1-RC0,2017-12-28,22:44:06,+0200
HBASE-15467,2.0.0-beta-1-RC0.2,2017-12-29,08:27:08,-0800
HBASE-15467,2.0.0-beta-1-RC1.2,2017-12-29,08:27:08,-0800
HBASE-15467,2.0.0-beta-1-RC1,2018-01-05,08:31:07,-0600
HBASE-15467,2.0.0-beta-1-RC1.3,2018-01-05,18:13:54,-0500
HBASE-15467,2.0.0-beta-1-RC1.4,2018-01-06,08:51:19,-0600
HBASE-15467,2.0.0-beta-1-RC1.5,2018-01-08,16:18:30,+0800
HBASE-15467,2.0.0-beta-1-RC1.6,2018-01-11,15:03:20,-0800
HBASE-15467,2.0.0-beta-1-RC1.7,2018-01-12,13:39:32,-0800
HBASE-13686,1.1.0-SNAPSHOT-testing,2015-04-29,12:32:45,-0700
HBASE-13686,1.1.0RC0,2015-04-29,14:35:27,-0700
HBASE-13686,1.1.0,2015-05-11,18:33:44,-0700
HBASE-13686,1.1.0RC1,2015-05-11,21:11:11,-0700
HBASE-13686,1.1.0RC2,2015-05-11,18:33:44,-0700
HBASE-13686,1.1.0.1,2015-05-17,12:01:30,-0700
HBASE-13686,1.1.0.1RC0,2015-05-17,12:01:30,-0700
HBASE-10598,0.94.16RC0,2014-01-10,20:06:26,+0000
HBASE-10598,0.94.16,2014-01-20,21:55:46,+0000
HBASE-10598,0.94.16mvn,2014-01-21,01:23:45,+0000
HBASE-10598,0.94.16mvn2,2014-01-21,01:23:43,+0000
HBASE-10569,None
