commit_id,filename,committer,date,time,line_number,code
^948d0cdec4,src/java/org/apache/hadoop/hbase/HMaster.java,Doug Cutting,2007-04-03,20:34:28,1,/**
^948d0cdec4,src/java/org/apache/hadoop/hbase/HMaster.java,Doug Cutting,2007-04-03,20:34:28,2, *
c6bf382ebe9,src/java/org/apache/hadoop/hbase/HMaster.java,Jim Kellerman,2007-07-12,22:08:25,3, * Licensed to the Apache Software Foundation (ASF) under one
c6bf382ebe9,src/java/org/apache/hadoop/hbase/HMaster.java,Jim Kellerman,2007-07-12,22:08:25,4, * or more contributor license agreements.  See the NOTICE file
c6bf382ebe9,src/java/org/apache/hadoop/hbase/HMaster.java,Jim Kellerman,2007-07-12,22:08:25,5, * distributed with this work for additional information
c6bf382ebe9,src/java/org/apache/hadoop/hbase/HMaster.java,Jim Kellerman,2007-07-12,22:08:25,6, * regarding copyright ownership.  The ASF licenses this file
c6bf382ebe9,src/java/org/apache/hadoop/hbase/HMaster.java,Jim Kellerman,2007-07-12,22:08:25,7," * to you under the Apache License, Version 2.0 (the"
c6bf382ebe9,src/java/org/apache/hadoop/hbase/HMaster.java,Jim Kellerman,2007-07-12,22:08:25,8," * ""License""); you may not use this file except in compliance"
c6bf382ebe9,src/java/org/apache/hadoop/hbase/HMaster.java,Jim Kellerman,2007-07-12,22:08:25,9, * with the License.  You may obtain a copy of the License at
^948d0cdec4,src/java/org/apache/hadoop/hbase/HMaster.java,Doug Cutting,2007-04-03,20:34:28,10, *
^948d0cdec4,src/java/org/apache/hadoop/hbase/HMaster.java,Doug Cutting,2007-04-03,20:34:28,11, *     http://www.apache.org/licenses/LICENSE-2.0
^948d0cdec4,src/java/org/apache/hadoop/hbase/HMaster.java,Doug Cutting,2007-04-03,20:34:28,12, *
^948d0cdec4,src/java/org/apache/hadoop/hbase/HMaster.java,Doug Cutting,2007-04-03,20:34:28,13," * Unless required by applicable law or agreed to in writing, software"
^948d0cdec4,src/java/org/apache/hadoop/hbase/HMaster.java,Doug Cutting,2007-04-03,20:34:28,14," * distributed under the License is distributed on an ""AS IS"" BASIS,"
^948d0cdec4,src/java/org/apache/hadoop/hbase/HMaster.java,Doug Cutting,2007-04-03,20:34:28,15," * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied."
^948d0cdec4,src/java/org/apache/hadoop/hbase/HMaster.java,Doug Cutting,2007-04-03,20:34:28,16, * See the License for the specific language governing permissions and
^948d0cdec4,src/java/org/apache/hadoop/hbase/HMaster.java,Doug Cutting,2007-04-03,20:34:28,17, * limitations under the License.
^948d0cdec4,src/java/org/apache/hadoop/hbase/HMaster.java,Doug Cutting,2007-04-03,20:34:28,18, */
0f6c5e0ae89,src/java/org/apache/hadoop/hbase/master/HMaster.java,Michael Stack,2008-02-08,22:50:35,19,package org.apache.hadoop.hbase.master;
^948d0cdec4,src/java/org/apache/hadoop/hbase/HMaster.java,Doug Cutting,2007-04-03,20:34:28,20,
b1ef73ff1fb,src/main/java/org/apache/hadoop/hbase/master/HMaster.java,Jonathan Gray,2010-06-12,01:17:45,21,import java.io.IOException;
