commit_id,filename,committer,date,time,line_number,code
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,1,/**
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,2, *
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,3, * Licensed to the Apache Software Foundation (ASF) under one
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,4, * or more contributor license agreements.  See the NOTICE file
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,5, * distributed with this work for additional information
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,6, * regarding copyright ownership.  The ASF licenses this file
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,7," * to you under the Apache License, Version 2.0 (the"
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,8," * ""License""); you may not use this file except in compliance"
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,9, * with the License.  You may obtain a copy of the License at
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,10, *
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,11, *     http://www.apache.org/licenses/LICENSE-2.0
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,12, *
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,13," * Unless required by applicable law or agreed to in writing, software"
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,14," * distributed under the License is distributed on an ""AS IS"" BASIS,"
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,15," * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied."
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,16, * See the License for the specific language governing permissions and
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,17, * limitations under the License.
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,18, */
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,19,package org.apache.hadoop.hbase.regionserver;
8763e9e92c4,src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Jim Kellerman,2008-08-11,17:57:53,20,
53b32742517,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2010-06-11,18:09:48,21,import java.io.IOException;
6119df9ccba,hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,sershe,2013-11-15,04:36:30,22,import java.io.InterruptedIOException;
53b32742517,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2010-06-11,18:09:48,23,import java.lang.Thread.UncaughtExceptionHandler;
7a678034af9,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Todd Lipcon,2011-01-06,19:49:28,24,import java.lang.annotation.Retention;
7a678034af9,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Todd Lipcon,2011-01-06,19:49:28,25,import java.lang.annotation.RetentionPolicy;
53b32742517,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2010-06-11,18:09:48,26,import java.lang.management.ManagementFactory;
53b32742517,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2010-06-11,18:09:48,27,import java.lang.management.MemoryUsage;
53b32742517,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2010-06-11,18:09:48,28,import java.lang.reflect.Constructor;
53b32742517,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2010-06-11,18:09:48,29,import java.net.BindException;
53b32742517,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2010-06-11,18:09:48,30,import java.net.InetSocketAddress;
53b32742517,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2010-06-11,18:09:48,31,import java.util.ArrayList;
53b32742517,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2010-06-11,18:09:48,32,import java.util.Collection;
53b32742517,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2010-06-11,18:09:48,33,import java.util.Collections;
53b32742517,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2010-06-11,18:09:48,34,import java.util.Comparator;
1955d5dfe45,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2010-12-02,00:00:30,35,import java.util.HashMap;
30f21c3ef44,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2012-02-23,05:05:30,36,import java.util.HashSet;
5edfc1996d3,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Zhihong Yu,2012-05-09,17:07:49,37,import java.util.Iterator;
53b32742517,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2010-06-11,18:09:48,38,import java.util.List;
53b32742517,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2010-06-11,18:09:48,39,import java.util.Map;
307ca7c68b1,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2011-12-09,05:59:34,40,import java.util.Map.Entry;
007d6da28c1,src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java,Michael Stack,2012-05-05,04:22:52,41,import java.util.Random;
