commit_id,committer,date,time,line_number,code
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,1,/**
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,2, * Licensed to the Apache Software Foundation (ASF) under one
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,3, * or more contributor license agreements.  See the NOTICE file
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,4, * distributed with this work for additional information
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,5, * regarding copyright ownership.  The ASF licenses this file
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,6," * to you under the Apache License, Version 2.0 (the"
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,7," * ""License""); you may not use this file except in compliance"
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,8, * with the License.  You may obtain a copy of the License at
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,9, *
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,10, *     http://www.apache.org/licenses/LICENSE-2.0
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,11, *
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,12," * Unless required by applicable law or agreed to in writing, software"
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,13," * distributed under the License is distributed on an ""AS IS"" BASIS,"
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,14," * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied."
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,15, * See the License for the specific language governing permissions and
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,16, * limitations under the License.
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,17, */
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,18,
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,19,package org.apache.hadoop.hbase.quotas;
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,20,
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,21,import java.util.concurrent.TimeUnit;
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,22,
0a28af366b7,Elliott Clark,2014-09-23,21:47:18,23,import org.apache.hadoop.hbase.classification.InterfaceAudience;
a5bd931682c,Elliott Clark,2014-09-22,18:46:35,24,import org.apache.hadoop.hbase.classification.InterfaceStability;
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,25,
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,26,/**
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,27, * Simple rate limiter.
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,28, *
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,29, * Usage Example:
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,30, *   RateLimiter limiter = new RateLimiter(); // At this point you have a unlimited resource limiter
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,31," *   limiter.set(10, TimeUnit.SECONDS);       // set 10 resources/sec"
bd8df9ccd4d,Matteo Bertozzi,2014-09-18,01:51:15,32, *
