,filename,SUM #line_changed
10570,openjpaproject/src/doc/manual/manual.xml,67869.0
1768,.../java/openbook/tools/parser/JavaParser.java,20088.0
8327,.../src/doc/manual/ref_guide_dbsetup.xml,11552.0
10057,Bin,9705.0
2002,.../java/org/apache/openjpa/kernel/BrokerImpl.java,9522.0
8320,.../src/doc/manual/jpa_overview_query.xml,9337.0
8318,.../src/doc/manual/jpa_overview_meta.xml,8995.0
8332,.../src/doc/manual/ref_guide_mapping.xml,8826.0
10579,openjpaproject/src/doc/manual/ref_guide_conf.xml,8298.0
5912,.../org/apache/openjpa/jdbc/sql/DBDictionary.java,7789.0
8317,.../src/doc/manual/jpa_overview_mapping.xml,7540.0
5713,.../org/apache/openjpa/enhance/PCEnhancer.java,7298.0
3306,.../lib/jdbc/LoggingConnectionDecorator.java,6715.0
10590,openjpaproject/src/doc/manual/ref_guide_pc.xml,6264.0
10650,serp/src/main/java/serp/bytecode/Code.java,6084.0
5930,.../org/apache/openjpa/jdbc/sql/SelectImpl.java,5685.0
4239,.../openjpa/jdbc/kernel/JDBCStoreManager.java,5255.0
4702,.../openjpa/persistence/criteria/Expressions.java,4852.0
3380,.../main/java/openbook/tools/parser/JavaLexer.java,4766.0
462,.../apache/openjpa/kernel/StateManagerImpl.java,4706.0
493,.../apache/openjpa/lib/conf/ConfigurationImpl.java,4700.0
574,.../apache/openjpa/meta/MetaDataRepository.java,4693.0
6971,.../persistence/criteria/TestTypesafeCriteria.java,4671.0
4081,.../openjpa/conf/OpenJPAConfigurationImpl.java,4466.0
6128,.../org/apache/openjpa/meta/ClassMetaData.java,4188.0
1330,.../criteria/TestTypeSafeCondExpression.java,4129.0
10645,serp/src/main/java/serp/bytecode/BCClass.java,4072.0
3302,.../lib/jdbc/DelegatingCallableStatement.java,3922.0
494,.../apache/openjpa/lib/conf/Configurations.java,3888.0
2034,.../java/org/apache/openjpa/kernel/QueryImpl.java,3833.0
4534,.../openjpa/persistence/EntityManagerImpl.java,3696.0
8326,.../src/doc/manual/ref_guide_caching.xml,3678.0
10539,openjpaproject/CHANGES.txt,3648.0
3303,.../lib/jdbc/DelegatingDatabaseMetaData.java,3631.0
8335,.../src/doc/manual/ref_guide_runtime.xml,3626.0
10568,openjpaproject/src/doc/manual/jpa_tutorials.xml,3500.0
4426,.../openjpa/kernel/jpql/JPQLExpressionBuilder.java,3414.0
7712,.../persistence/lockmgr/TestJPA2LockManager.java,3414.0
4508,.../openjpa/lib/util/concurrent/ReentrantLock.java,3388.0
4459,.../openjpa/lib/jdbc/DelegatingResultSet.java,3296.0
6785,.../persistence/XMLPersistenceMetaDataParser.java,3285.0
