loc,add_loc,del_loc,com_num,fix_com_num,hcm,dev_total,dev_minor,dev_major,dev_ownership,period,avg_period,max_interval,min_interval,bug_coupling,near_bugs,faulty,file
4,0,0,1,0,0.000262504664649981,1,0,1,1,2081,2081,2081,2081,0,0,n,"pyramid_url.py/[CN]/URLMethodsMixin/[MT]/resource_path/body"
8,5,6,3,0,0.000642692106553227,2,0,2,0.666666666666667,713,237,621,9,0,0,n,"docs_tutorials_wiki2_src_authorization_tutorial_views_default.py/[MT]/edit_page/body"
2,1,1,2,0,0.00151790911356581,1,0,1,1,2561,1280,2361,199,0,0,n,"pyramid_interfaces.py/[CN]/IRoutesMapper/[MT]/get_routes/body"
2,0,0,1,0,0.000199643188527837,1,0,1,1,621,621,621,621,0,0,n,"docs_tutorials_wiki2_src_authorization_tutorial_routes.py/[CN]/NewPage/[MT]/__acl__/body"
4,3,4,3,0,0.000604816080895838,1,0,1,1,2330,776,2329,0,0,0,n,"pyramid_registry.py/[CN]/Registry/[MT]/queryAdapterOrSelf/body"
3,1,1,2,0,0.000784002811891932,2,0,2,0.5,2260,1130,1339,920,0,0,n,"pyramid_config_assets.py/[CN]/FileOverride/[MT]/__call__/body"
2,2,2,4,0,0.000659582625162452,2,0,2,0.5,200,50,182,0,0,0,n,"pyramid_interfaces.py/[CN]/ICSRFStoragePolicy/[MT]/check_csrf_token/body"
82,75,22,44,0,0.00715446684351138,12,11,1,0.568181818181818,2267,51,380,0,0,0,n,"pyramid_config_routes.py/[CN]/RoutesConfiguratorMixin/[MT]/add_route/body"
3,0,0,1,0,0.000400569327007965,1,0,1,1,1507,1507,1507,1507,0,0,n,"docs_quick__tutorial_json_tutorial_views.py/[CN]/TutorialViews/[MT]/home/body"
30,30,30,2,0,0.000599682342117362,1,0,1,1,2152,1076,2152,0,0,0,n,"pyramid_path.py/[CN]/DottedNameResolver/[MT]/_zope_dottedname_style/body"
21,21,16,7,0,0.000952329632587738,4,2,2,0.428571428571429,2267,323,961,0,0,0,n,"pyramid_config_views.py/[CN]/MultiView/[MT]/add/body"
6,0,0,1,0,0.00124461614511145,1,0,1,1,2561,2561,2561,2561,0,0,n,"pyramid_request.py/[MT]/add_global_response_headers/body"
17,8,11,5,0,0.000715206771133634,3,0,3,0.6,713,142,423,3,0,0,n,"docs_tutorials_wiki2_src_authorization_tutorial_views_default.py/[MT]/view_page/body"
3,3,2,4,0,0.00121319918602787,2,0,2,0.75,2216,554,1140,0,0,0,n,"pyramid_scripts_proutes.py/[CN]/PRoutesCommand/[MT]/out/body"
7,2,1,2,0,0.00124461614511145,1,0,1,1,2561,1280,2538,22,0,0,n,"pyramid_path.py/[MT]/caller_package/body"
5,1,1,2,0,0.000624209991953154,1,0,1,1,2165,1082,2162,2,0,0,n,"pyramid_util.py/[MT]/shortrepr/body"
2,2,2,5,0,0.00174367004832652,3,0,3,0.6,2862,572,2222,13,0,0,n,"docs_conf.py/[MT]/frontmatter/body"
2,0,0,1,0,0.00101171192830028,1,0,1,1,2269,2269,2269,2269,0,0,n,"pyramid_interfaces.py/[CN]/IDict/[MT]/__contains__/body"
2,2,2,2,0,0.000599682342117362,1,0,1,1,2152,1076,2152,0,0,0,n,"pyramid_path.py/[CN]/FSAssetDescriptor/[MT]/absspec/body"
3,0,0,1,0,0.000115028581212239,1,0,1,1,306,306,306,306,0,0,n,"docs_quick__tutorial_cookiecutters_cc__starter_views.py/[MT]/my_view/body"
10,3,1,9,0,0.00190367597623633,3,2,1,0.777777777777778,2507,278,1885,0,0,0,n,"pyramid_traversal.py/[MT]/find_resource/body"
6,0,0,1,0,0.00124461614511145,1,0,1,1,2561,2561,2561,2561,0,0,n,"pyramid_path.py/[MT]/caller_path/body"
8,8,8,3,0,0.000971285200374626,1,0,1,1,2248,749,1891,81,0,0,n,"pyramid_config_____init____.py/[CN]/Configurator/[MT]/_get_action_state/body"
4,1,1,2,0,0.0004465005572294,2,0,2,0.5,2055,1027,1338,716,0,0,n,"docs_tutorials_wiki2_src_views_tutorial_scripts_initializedb.py/[MT]/usage/body"
6,3,6,16,0,0.00301929150037016,4,1,3,0.4375,2267,141,698,0,0,0,n,"pyramid_config_views.py/[CN]/ViewsConfiguratorMixin/[MT]/add_static_view/body"
35,7,3,3,0,0.000361666942930407,1,0,1,1,570,190,396,19,0,0,n,"pyramid_viewderivers.py/[MT]/_authdebug_view/body"
14,3,1,2,0,0.000314015837074136,2,0,2,0.5,514,257,400,113,0,0,n,"pyramid_view.py/[CN]/exception_view_config/[MT]/__call__/body"
48,48,24,17,0,0.00219832324923486,5,3,2,0.352941176470588,2216,130,736,0,0,0,n,"pyramid_scripts_proutes.py/[CN]/PRoutesCommand/[MT]/run/body"
2,1,1,2,0,0.000791533996723598,1,0,1,1,2330,1165,2229,101,0,0,n,"pyramid_registry.py/[CN]/Registry/[MT]/registerSelfAdapter/body"
4,3,3,2,0,0.000353067833651417,1,0,1,1,626,313,621,5,0,0,n,"docs_tutorials_wiki2_src_authorization_tutorial_security.py/[CN]/MyAuthenticationPolicy/[MT]/authenticated_userid/body"
7,7,7,5,0,0.00161586108562642,1,0,1,1,2558,511,2222,0,0,0,n,"pyramid_request.py/[CN]/Request/[MT]/session/body"
3,2,2,4,0,0.000260657919618623,1,0,1,1,320,80,320,0,0,0,n,"pyramid_scripts_pdistreport.py/[MT]/get_parser/body"
3,1,1,2,0,0.000667528068219099,1,0,1,1,2216,1108,2215,0,0,0,n,"pyramid_scripts_pcreate.py/[CN]/PCreateCommand/[MT]/out/body"
2,0,0,1,0,0.000400569327007965,1,0,1,1,1507,1507,1507,1507,0,0,n,"docs_quick__tutorial_ini_tutorial_____init____.py/[MT]/hello_world/body"
31,31,15,8,0,0.000797784784290982,1,0,1,1,698,87,604,0,0,0,n,"pyramid_config_views.py/[CN]/StaticURLInfo/[MT]/add_cache_buster/body"
7,0,0,1,0,0.00031279343719784,1,0,1,1,328,328,328,328,0,0,n,"pyramid_predicates.py/[CN]/HeaderPredicate/[MT]/__call__/body"
2,2,2,2,0,0.00021635279347432,2,0,2,0.5,1910,955,1360,550,0,0,n,"pyramid_registry.py/[CN]/Deferred/[MT]/resolve/body"
6,0,0,1,0,9.78383808716921e-05,1,0,1,1,1714,1714,1714,1714,0,0,n,"pyramid_scaffolds_template.py/[MT]/substitute_escaped_double_braces/body"
4,0,0,1,0,0.000413946276920094,1,0,1,1,2162,2162,2162,2162,0,0,n,"pyramid_registry.py/[CN]/Introspector/[MT]/get/body"
4,0,0,1,0,0.000189606046600464,1,0,1,1,568,568,568,568,0,0,n,"docs_tutorials_wiki2_src_installation_tutorial_models_____init____.py/[MT]/get_session_factory/body"
3,1,1,2,0,0.000970421415111877,1,0,1,1,2267,1133,2263,4,0,0,n,"pyramid_config_settings.py/[CN]/SettingsConfiguratorMixin/[MT]/get_settings/body"
2,2,2,5,0,0.00347827511199045,1,0,1,1,2561,512,2332,0,0,0,n,"pyramid_interfaces.py/[CN]/IView/[MT]/__call__/body"
3,3,2,3,0,0.00492566306701227,2,0,2,0.666666666666667,3384,1128,3047,30,0,0,n,"docs_narr_myproject_myproject_views.py/[MT]/my_view/body"
61,31,16,19,0,0.00267656384239867,5,3,2,0.368421052631579,2216,116,736,0,0,0,n,"pyramid_scripts_pshell.py/[CN]/PShellCommand/[MT]/run/body"
2,0,0,1,0,0.000193956888534967,1,0,1,1,599,599,599,599,0,0,n,"pyramid_interfaces.py/[CN]/IViewDeriver/[MT]/__call__/body"
6,0,0,1,0,0.000849881003568547,1,0,1,1,1507,1507,1507,1507,0,0,n,"docs_quick__tutorial_authorization_tutorial_views.py/[CN]/TutorialViews/[MT]/logout/body"
9,2,0,3,0,0.000437465135943386,2,0,2,0.666666666666667,568,189,409,18,0,0,n,"docs_tutorials_wiki2_src_installation_tutorial_models_____init____.py/[MT]/includeme/body"
22,0,0,1,0,0.000259334322269308,1,0,1,1,571,571,571,571,0,0,n,"pyramid_viewderivers.py/[MT]/preserve_view_attrs/body"
14,2,1,2,0,0.00154461672963242,1,0,1,1,2561,1280,2227,333,0,0,n,"pyramid_i18n.py/[CN]/Translations/[MT]/load/body"
4,1,1,2,0,0.000528960746422146,2,0,2,0.5,2055,1027,1341,713,0,0,n,"docs_tutorials_wiki2_src_authorization_tutorial_scripts_initializedb.py/[MT]/usage/body"
8,1,0,2,0,0.000605872744063739,1,0,1,1,1507,753,1495,11,0,0,n,"docs_quick__tutorial_json_tutorial_____init____.py/[MT]/main/body"
4,2,2,2,0,0.000411216028309489,2,0,2,0.5,1339,669,983,356,0,0,n,"pyramid_config_assets.py/[CN]/PackageAssetSource/[MT]/isdir/body"
6,0,0,1,0,0.000743268212418008,1,0,1,1,2507,2507,2507,2507,0,0,n,"pyramid_traversal.py/[MT]/_resource_path_list/body"
11,1,1,2,0,0.00112180390267364,1,0,1,1,2507,1253,2229,278,0,0,n,"pyramid_asset.py/[MT]/resolve_asset_spec/body"
2,0,0,1,0,0.00124461614511145,1,0,1,1,2561,2561,2561,2561,0,0,n,"pyramid_threadlocal.py/[CN]/ThreadLocalManager/[MT]/clear/body"
3,2,2,6,0,0.00291112094389763,2,1,1,0.833333333333333,2561,426,2182,3,0,0,n,"docs_tutorials_wiki_src_authorization_tutorial_views.py/[MT]/view_wiki/body"
54,24,4,8,0,0.000239283703791648,2,1,1,0.875,1521,190,956,0,0,0,n,"pyramid_httpexceptions.py/[CN]/HTTPException/[MT]/prepare/body"
5,0,0,1,0,0.000199643188527837,1,0,1,1,621,621,621,621,0,0,n,"docs_tutorials_wiki2_src_authorization_tutorial_security.py/[MT]/get_user/body"
5,2,2,2,0,0.00132237722381333,1,0,1,1,2561,1280,2512,49,0,0,n,"pyramid_path.py/[MT]/caller_module/body"
13,1,0,2,0,0.000605872744063739,1,0,1,1,1507,753,1495,11,0,0,n,"docs_quick__tutorial_databases_tutorial_____init____.py/[MT]/main/body"
6,0,0,1,0,8.8518846484948e-05,1,0,1,1,692,692,692,692,0,0,n,"pyramid_config_assets.py/[CN]/FSAssetSource/[MT]/get_path/body"
3,0,0,1,0,0.000184089325612558,1,0,1,1,183,183,183,183,0,0,n,"pyramid_csrf.py/[CN]/LegacySessionCSRFStoragePolicy/[MT]/new_csrf_token/body"
7,3,3,2,0,0.000784002811891932,2,0,2,0.5,2260,1130,1339,920,0,0,n,"pyramid_config_assets.py/[CN]/PackageOverrides/[MT]/insert/body"
4,2,2,2,0,0.00124461614511145,1,0,1,1,2561,1280,2300,260,0,0,n,"pyramid_request.py/[MT]/route_request_iface/body"
54,24,6,6,0,0.000408773299146913,2,1,1,0.833333333333333,1050,175,480,0,0,0,n,"pyramid_scripts_proutes.py/[MT]/get_route_data/body"
2,0,0,1,0,0.00024699204904513,1,0,1,1,623,623,623,623,0,0,n,"docs_tutorials_wiki2_src_authentication_tutorial_models_____init____.py/[MT]/get_engine/body"
4,1,1,2,0,0.000454307220879309,2,0,2,0.5,1507,753,1351,156,0,0,n,"docs_quick__tutorial_more__view__classes_tutorial_views.py/[CN]/TutorialViews/[MT]/delete/body"
2,0,0,1,0,0.00101171192830028,1,0,1,1,2269,2269,2269,2269,0,0,n,"pyramid_interfaces.py/[CN]/IDict/[MT]/get/body"
48,35,56,22,0,0.00249505750831412,6,5,1,0.545454545454545,2290,104,570,0,0,0,n,"pyramid_router.py/[CN]/Router/[MT]/handle_request/body"
4,0,0,1,0,0.00024699204904513,1,0,1,1,623,623,623,623,0,0,n,"docs_tutorials_wiki2_src_authentication_tutorial_views_default.py/[MT]/view_wiki/body"
4,0,0,1,0,0.000610304691814953,1,0,1,1,2162,2162,2162,2162,0,0,n,"docs_tutorials_wiki_src_authorization_tutorial_views.py/[MT]/logout/body"
9,8,2,3,0,0.00074509821478468,3,0,3,0.333333333333333,2267,755,1359,316,0,0,n,"pyramid_config_____init____.py/[CN]/Configurator/[MT]/begin/body"
4,4,14,7,0,0.00155888112507814,3,2,1,0.714285714285714,1913,273,1512,0,0,0,n,"pyramid_config_views.py/[CN]/ViewsConfiguratorMixin/[MT]/add_view_predicate/body"
2,0,0,1,0,0.000227692711771356,1,0,1,1,2215,2215,2215,2215,0,0,n,"pyramid_scaffolds_template.py/[CN]/Template/[MT]/exists/body"
2,0,0,1,0,0.00124461614511145,1,0,1,1,2561,2561,2561,2561,0,0,n,"pyramid_i18n.py/[CN]/Translations/[MT]/__repr__/body"
26,26,17,8,0,0.000578962875618912,1,0,1,1,692,86,604,0,0,0,n,"pyramid_config_views.py/[CN]/StaticURLInfo/[MT]/_bust_asset_path/body"
5,0,0,1,0,0.000132729800696546,1,0,1,1,1910,1910,1910,1910,0,0,n,"pyramid_registry.py/[MT]/undefer/body"
3,0,0,1,0,0.000226330471119472,1,0,1,1,1450,1450,1450,1450,0,0,n,"pyramid_security.py/[MT]/_get_authentication_policy/body"
2,0,0,1,0,0.000651912451807153,1,0,1,1,2496,2496,2496,2496,0,0,n,"pyramid_interfaces.py/[CN]/IViewMapperFactory/[MT]/__call__/body"
9,0,0,1,0,0.000233424639228263,1,0,1,1,1820,1820,1820,1820,0,0,n,"pyramid_scripts_common.py/[MT]/parse_vars/body"
38,38,17,22,0,0.00342094008254577,3,1,2,0.545454545454545,2248,102,622,0,0,0,n,"pyramid_config_____init____.py/[CN]/ActionState/[MT]/execute_actions/body"
6,0,0,1,0,0.00124461614511145,1,0,1,1,2561,2561,2561,2561,0,0,n,"pyramid_authentication.py/[CN]/RepozeWho1AuthenticationPolicy/[MT]/_get_identifier/body"
5,3,2,4,0,0.000477017607508266,4,0,4,0.25,1843,460,1340,17,0,0,n,"pyramid_authentication.py/[CN]/BasicAuthAuthenticationPolicy/[MT]/unauthenticated_userid/body"
2,0,0,1,0,0.000122450715705559,1,0,1,1,2099,2099,2099,2099,0,0,n,"docs_narr_hellotraversal.py/[MT]/get_root/body"
13,4,2,9,0,0.00277207807604837,2,1,1,0.888888888888889,2264,251,2165,0,0,0,n,"pyramid_config_factories.py/[CN]/FactoriesConfiguratorMixin/[MT]/set_root_factory/body"
2,0,0,1,0,0.000526255518522912,1,0,1,1,969,969,969,969,0,0,n,"pyramid_interfaces.py/[CN]/IRendererInfo/[MT]/clone/body"
12,0,0,1,0,0.000149521001860453,1,0,1,1,246,246,246,246,0,0,n,"pyramid_config_factories.py/[CN]/FactoriesConfiguratorMixin/[MT]/set_execution_policy/body"
7,1,0,2,0,0.000605872744063739,1,0,1,1,1507,753,1495,11,0,0,n,"docs_quick__tutorial_view__classes_tutorial_____init____.py/[MT]/main/body"
2,2,2,4,0,0.00165898668250326,2,0,2,0.75,2862,715,2546,13,0,0,n,"docs_conf.py/[MT]/backmatter/body"
3,0,0,1,0,0.000296881791646675,1,0,1,1,1539,1539,1539,1539,0,0,n,"docs_quick__tour_json_views.py/[MT]/hello_json/body"
7,7,8,3,0,0.00142429123100951,2,0,2,0.666666666666667,2267,755,1339,6,0,0,n,"pyramid_config_assets.py/[CN]/AssetsConfiguratorMixin/[MT]/_override/body"
2,2,2,2,0,0.000599682342117362,1,0,1,1,2152,1076,2152,0,0,0,n,"pyramid_path.py/[CN]/PkgResourcesAssetDescriptor/[MT]/stream/body"
5,1,1,2,0,0.00101882410937321,1,0,1,1,2267,1133,2229,38,0,0,n,"pyramid_config_____init____.py/[CN]/Configurator/[MT]/absolute_asset_spec/body"
2,2,2,2,0,0.00150712080976143,1,0,1,1,2561,1280,2081,479,0,0,n,"pyramid_interfaces.py/[CN]/ILocaleNegotiator/[MT]/__call__/body"
4,0,0,1,0,0.00020487686660201,1,0,1,1,986,986,986,986,0,0,n,"pyramid_util.py/[CN]/InstancePropertyHelper/[MT]/apply/body"
5,1,2,5,0,0.000548216810873654,2,0,2,0.6,623,124,470,1,0,0,n,"docs_tutorials_wiki2_src_authentication_tutorial_models_user.py/[CN]/User/[MT]/check_password/body"
26,17,11,5,0,0.000867327235966941,3,0,3,0.4,2451,490,2227,0,0,0,n,"pyramid_i18n.py/[MT]/make_localizer/body"
7,7,6,2,0,0.000729951526195285,1,0,1,1,2216,1108,2146,70,0,0,n,"pyramid_scaffolds_template.py/[CN]/Template/[MT]/template_dir/body"
4,0,0,1,0,0.000280686097126485,1,0,1,1,1339,1339,1339,1339,0,0,n,"pyramid_config_assets.py/[CN]/FSAssetSource/[MT]/listdir/body"
24,7,10,5,0,7.54909149505413e-05,2,0,2,0.8,485,97,424,1,0,0,n,"pyramid_authentication.py/[MT]/extract_http_basic_credentials/body"
9,2,0,3,0,0.000466016464275976,2,0,2,0.666666666666667,308,102,149,18,0,0,n,"docs_quick__tour_sqla__demo_sqla__demo_models_____init____.py/[MT]/includeme/body"
3,0,1,2,0,0.000958652444812254,1,0,1,1,2267,1133,2260,7,0,0,n,"pyramid_config_security.py/[CN]/SecurityConfiguratorMixin/[MT]/_set_authorization_policy/body"
3,0,0,1,0,0.000266156422588475,1,0,1,1,2268,2268,2268,2268,0,0,n,"docs_tutorials_wiki_src_basiclayout_tutorial_____init____.py/[MT]/root_factory/body"
14,3,1,2,0,0.000373049756557624,2,0,2,0.5,2076,1038,1962,113,0,0,n,"pyramid_view.py/[CN]/forbidden_view_config/[MT]/__call__/body"
3,3,3,6,0,0.00184591207001674,4,3,1,0.5,2561,426,1917,0,0,0,n,"pyramid_url.py/[MT]/_join_elements/body"
3,2,3,2,0,0.000155481298947456,1,0,1,1,2145,1072,2145,0,0,0,n,"pyramid_scripts_prequest.py/[CN]/PRequestCommand/[MT]/out/body"
7,0,0,1,0,0.000503316714765447,1,0,1,1,2260,2260,2260,2260,0,0,n,"pyramid_config_assets.py/[CN]/OverrideProvider/[MT]/resource_isdir/body"
8,0,0,1,0,0.000189606046600464,1,0,1,1,568,568,568,568,0,0,n,"docs_tutorials_wiki2_src_installation_tutorial_____init____.py/[MT]/main/body"
2,1,56,4,0,0.00110683208817948,1,0,1,1,2262,565,1914,0,0,0,n,"pyramid_config_tweens.py/[CN]/Tweens/[MT]/implicit/body"
3,3,3,4,0,0.00262156012663084,1,0,1,1,2561,640,2495,0,0,0,n,"pyramid_renderers.py/[CN]/RendererHelper/[MT]/render_to_response/body"
4,1,1,2,0,0.00043009292503691,2,0,2,0.5,2055,1027,1690,364,0,0,n,"pyramid_scaffolds_alchemy_+package+_scripts_initializedb.py/[MT]/usage/body"
5,5,4,2,0,0.000784002811891932,2,0,2,0.5,2260,1130,1339,920,0,0,n,"pyramid_config_assets.py/[CN]/PackageOverrides/[MT]/listdir/body"
3,0,0,1,0,0.000400569327007965,1,0,1,1,1507,1507,1507,1507,0,0,n,"docs_quick__tutorial_static__assets_tutorial_views.py/[CN]/TutorialViews/[MT]/hello/body"
7,6,14,11,0,0.00519413686069952,3,2,1,0.727272727272727,2561,232,1258,0,0,0,n,"pyramid_url.py/[MT]/static_url/body"
2,0,0,1,0,0.000170941258798733,1,0,1,1,134,134,134,134,0,0,n,"pyramid_threadlocal.py/[CN]/RequestContext/[MT]/end/body"
2,1,1,2,0,0.000599800287751919,2,0,2,0.5,2503,1251,2282,220,0,0,n,"pyramid_interfaces.py/[CN]/ISession/[MT]/pop_flash/body"
7,0,0,1,0,0.00031279343719784,1,0,1,1,328,328,328,328,0,0,n,"pyramid_predicates.py/[CN]/MatchParamPredicate/[MT]/__call__/body"
2,0,0,1,0,0.00101171192830028,1,0,1,1,2269,2269,2269,2269,0,0,n,"pyramid_interfaces.py/[CN]/IDict/[MT]/popitem/body"
14,4,3,4,0,0.000731595215869401,1,0,1,1,558,139,200,0,0,0,n,"pyramid_config_security.py/[CN]/SecurityConfiguratorMixin/[MT]/set_default_csrf_options/body"
2,2,2,2,0,0.000599682342117362,1,0,1,1,2152,1076,2152,0,0,0,n,"pyramid_path.py/[CN]/FSAssetDescriptor/[MT]/stream/body"
11,0,0,1,0,0.000123281208852467,1,0,1,1,1039,1039,1039,1039,0,0,n,"pyramid_scripts_proutes.py/[CN]/PRoutesCommand/[MT]/validate_formats/body"
2,2,2,6,0,0.0031291538456014,2,1,1,0.833333333333333,2561,426,2254,22,0,0,n,"pyramid_interfaces.py/[CN]/IAuthorizationPolicy/[MT]/permits/body"
10,0,0,1,0,0.000259334322269308,1,0,1,1,571,571,571,571,0,0,n,"pyramid_viewderivers.py/[MT]/mapped_view/body"
2,0,0,1,0,0.00124461614511145,1,0,1,1,2561,2561,2561,2561,0,0,n,"pyramid_urldispatch.py/[CN]/RoutesMapper/[MT]/generate/body"
9,2,0,3,0,0.000494851138388053,3,0,3,0.333333333333333,623,207,463,18,0,0,n,"docs_tutorials_wiki2_src_authentication_tutorial_models_____init____.py/[MT]/includeme/body"
7,1,1,2,0,0.000458846942587951,2,0,2,0.5,1463,731,1462,0,0,0,n,"pyramid_security.py/[CN]/AuthenticationAPIMixin/[MT]/authenticated_userid/body"
5,0,0,1,0,0.00024699204904513,1,0,1,1,623,623,623,623,0,0,n,"docs_tutorials_wiki2_src_authentication_tutorial_models_____init____.py/[MT]/get_tm_session/body"
4,4,80,31,0,0.00818943997617359,3,2,1,0.903225806451613,2561,82,1623,0,0,0,n,"pyramid_router.py/[CN]/Router/[MT]/__call__/body"
5,0,0,1,0,0.00024699204904513,1,0,1,1,623,623,623,623,0,0,n,"docs_tutorials_wiki2_src_authentication_tutorial_views_auth.py/[MT]/logout/body"
5,0,0,1,0,0.00024699204904513,1,0,1,1,623,623,623,623,0,0,n,"docs_tutorials_wiki2_src_authentication_tutorial_security.py/[MT]/get_user/body"
11,7,7,3,0,0.000419126884018773,3,0,3,0.333333333333333,514,171,395,0,0,0,n,"pyramid_config_views.py/[CN]/ViewsConfiguratorMixin/[MT]/add_exception_view/body"
5,0,0,1,0,0.000280686097126485,1,0,1,1,1339,1339,1339,1339,0,0,n,"pyramid_config_assets.py/[CN]/FSAssetSource/[MT]/get_string/body"
9,0,0,1,0,0.000469517428188601,1,0,1,1,2216,2216,2216,2216,0,0,n,"pyramid_scripts_pviews.py/[CN]/PViewsCommand/[MT]/_find_multi_routes/body"
3,3,6,4,0,0.000660649714239646,1,0,1,1,625,156,470,0,0,0,n,"docs_tutorials_wiki2_src_models_tutorial_models_user.py/[CN]/User/[MT]/set_password/body"
3,0,0,1,0,0.000400569327007965,1,0,1,1,1507,1507,1507,1507,0,0,n,"docs_quick__tutorial_forms_tutorial_views.py/[CN]/WikiViews/[MT]/wiki_view/body"
9,6,6,4,0,0.000925132929144424,2,0,2,0.75,2267,566,1741,15,0,0,n,"pyramid_config_____init____.py/[CN]/Configurator/[MT]/scan/body"
8,0,0,1,0,0.00024699204904513,1,0,1,1,623,623,623,623,0,0,n,"docs_tutorials_wiki2_src_authentication_tutorial_routes.py/[MT]/includeme/body"
2,2,2,2,0,0.000598544422149717,2,0,2,0.5,2152,1076,1471,680,0,0,n,"pyramid_interfaces.py/[CN]/IAssetDescriptor/[MT]/stream/body"
21,15,12,15,0,0.00181113206352411,6,4,2,0.333333333333333,2313,154,585,0,0,0,n,"pyramid_renderers.py/[CN]/JSONP/[MT]/__call__/body"
13,1,0,2,0,0.000605872744063739,1,0,1,1,1507,753,1495,11,0,0,n,"docs_quick__tutorial_authorization_tutorial_____init____.py/[MT]/main/body"
6,0,0,1,0,0.000259334322269308,1,0,1,1,571,571,571,571,0,0,n,"pyramid_viewderivers.py/[CN]/DefaultViewMapper/[MT]/map_nonclass_attr/body"
20,1,1,2,0,0.00102188611883555,2,0,2,0.5,1507,753,1041,465,0,0,n,"docs_quick__tutorial_authorization_tutorial_views.py/[CN]/TutorialViews/[MT]/login/body"
2,0,0,5,0,0.00169216239270675,1,0,1,1,2162,432,2078,0,0,0,n,"pyramid_registry.py/[CN]/Introspectable/[MT]/__nonzero__/body"
4,0,0,1,0,0.000400569327007965,1,0,1,1,1507,1507,1507,1507,0,0,n,"docs_quick__tutorial_json_tutorial_views.py/[CN]/TutorialViews/[MT]/hello/body"
3,0,0,1,0,0.00124461614511145,1,0,1,1,2561,2561,2561,2561,0,0,n,"pyramid_i18n.py/[CN]/Translations/[MT]/dgettext/body"
2,0,0,1,0,0.00031279343719784,1,0,1,1,328,328,328,328,0,0,n,"pyramid_predicates.py/[CN]/RequestParamPredicate/[MT]/text/body"
5,3,3,3,0,0.000442883061470458,1,0,1,1,698,232,685,5,0,0,n,"pyramid_config_views.py/[CN]/ViewsConfiguratorMixin/[MT]/add_cache_buster/body"
6,0,0,1,0,0.000413946276920094,1,0,1,1,2162,2162,2162,2162,0,0,n,"pyramid_registry.py/[CN]/Introspector/[MT]/related/body"
2,0,0,1,0,0.000135916037963691,1,0,1,1,1803,1803,1803,1803,0,0,n,"pyramid_config_adapters.py/[MT]/eventonly/body"
40,40,28,8,0,0.00270317594929891,2,0,2,0.75,2267,283,1022,0,0,0,n,"pyramid_config_assets.py/[CN]/AssetsConfiguratorMixin/[MT]/override_asset/body"
4,1,1,4,0,0.000848082705290237,3,0,3,0.5,2268,567,2017,40,0,0,n,"pyramid_url.py/[CN]/URLMethodsMixin/[MT]/route_path/body"
3,0,0,1,0,0.000400569327007965,1,0,1,1,1507,1507,1507,1507,0,0,n,"docs_quick__tutorial_view__classes_tutorial_views.py/[CN]/TutorialViews/[MT]/home/body"
2,2,2,4,0,0.00115286253493798,3,0,3,0.5,2494,623,1217,11,0,0,n,"pyramid_interfaces.py/[CN]/IAuthenticationPolicy/[MT]/unauthenticated_userid/body"
3,1,1,2,0,0.000274960570648175,2,0,2,0.5,2272,1136,1150,1121,0,0,n,"pyramid_renderers.py/[CN]/NullRendererHelper/[MT]/settings/body"
3,1,6,2,0,0.000515039166579729,2,0,2,0.5,1539,769,1230,308,0,0,n,"docs_quick__tour_package_hello__world_views.py/[MT]/my_view/body"
17,11,2,3,0,0.00164893847625239,2,0,2,0.666666666666667,2561,853,1822,3,0,0,n,"pyramid_authentication.py/[CN]/RepozeWho1AuthenticationPolicy/[MT]/authenticated_userid/body"
2,0,0,1,0,0.00101171192830028,1,0,1,1,2269,2269,2269,2269,0,0,n,"pyramid_interfaces.py/[CN]/IDict/[MT]/setdefault/body"
